init,max_iter,n_clusters,n_init,Silhouette
k-means++,300,2,20,0.12180826574001051
k-means++,300,2,30,0.12180826574001051
k-means++,500,2,20,0.12180826574001051
k-means++,500,2,30,0.12180826574001051
random,300,2,30,0.1217321385908346
random,300,2,10,0.1217321385908346
random,500,2,30,0.1217321385908346
random,300,2,20,0.1217321385908346
random,500,2,10,0.1217321385908346
random,500,2,20,0.1217321385908346
k-means++,500,2,10,0.12166665635710483
k-means++,300,2,10,0.12166665635710483
random,300,3,20,0.07726630720140094
random,300,3,30,0.07726630720140094
random,500,3,20,0.07726630720140094
random,500,3,30,0.07726630720140094
random,300,3,10,0.07726630720140094
random,500,3,10,0.07726630720140094
k-means++,300,3,30,0.07716918612526305
k-means++,500,3,30,0.07716918612526305
k-means++,500,3,20,0.07715139605778144
k-means++,500,3,10,0.07715139605778144
k-means++,300,3,20,0.07715139605778144
k-means++,300,3,10,0.07715139605778144
k-means++,500,4,20,0.07092109054911766
k-means++,300,4,20,0.07092109054911766
random,500,4,10,0.07090539410055466
random,300,4,10,0.07090539410055466
k-means++,300,4,10,0.07089304771224611
k-means++,500,4,10,0.07089304771224611
k-means++,300,4,30,0.07084295973836688
k-means++,500,4,30,0.07084295973836688
random,500,4,30,0.07083844429096688
random,500,4,20,0.07083844429096688
random,300,4,20,0.07083844429096688
random,300,4,30,0.07083844429096688
k-means++,500,5,30,0.06875897750258744
k-means++,500,5,20,0.06875897750258744
k-means++,300,5,30,0.06875897750258744
k-means++,300,5,20,0.06875897750258744
k-means++,500,5,10,0.06875085322474868
k-means++,300,5,10,0.06875085322474868
random,300,5,20,0.0687386572163819
random,500,5,10,0.0687386572163819
random,500,5,20,0.0687386572163819
random,500,5,30,0.0687386572163819
random,300,5,30,0.0687386572163819
random,300,5,10,0.0687386572163819
k-means++,300,6,30,0.0683492055118235
k-means++,500,6,20,0.0683492055118235
k-means++,300,6,20,0.0683492055118235
k-means++,300,6,10,0.0683492055118235
k-means++,500,6,10,0.0683492055118235
k-means++,500,6,30,0.0683492055118235
random,500,6,30,0.06816328626694318
random,300,6,30,0.06816328626694318
random,500,6,20,0.06813686818559488
random,500,6,10,0.06813686818559488
random,300,6,10,0.06813686818559488
random,300,6,20,0.06813686818559488
random,300,7,10,0.06626042587821299
random,500,7,10,0.06626042587821299
random,500,7,30,0.0660297520636398
random,300,7,30,0.0660297520636398
k-means++,500,7,20,0.06602953856282723
k-means++,500,7,10,0.06602953856282723
k-means++,500,7,30,0.06602953856282723
k-means++,300,7,30,0.06602953856282723
k-means++,300,7,20,0.06602953856282723
k-means++,300,7,10,0.06602953856282723
random,300,7,20,0.06602725924509746
random,500,7,20,0.06602725924509746
